Sl No.,RCA Serial No.,Failure Date,Reported Date,RCA Date,Division,Equipment,Impact on topline (Rs.),Downtime (hrs),Event Description/ Problem Statement,RCA Report,Root Cause,Actions,CAPA,HD  (Y/N),Target date,Responsibility,Actual Complete Date,Status,Remarks
13,RCA/BNFC/13/2023,,,24-Jan-2023,BNFC,FC 1A,"₹52,000",0.13,FC 1A EMERGENCY SWITCH  MAL FUNCTION,Refer attachment ,,Freeness of the push button to be ensured.,,,22-Feb-2023,Mr. Bhaktahari Satapathy,,Completed,
15,RCA/BNFC/15/2023,Regular,,08-Feb-2023,BNFC,Feed hole,---,,FEED HOLE BLOCKAGE AND FILTER PRESS CYCLE TIME HIGHER,Refer attachment ,,High pressure jet pump to be procured and put in use.,,,10-Jun-2023,Mr. S.D Prasad,,Completed,
16,RCA/BNFC/16/2023,Regular,,16-Feb-2023,BNFC,Poor life from repaired plate,---,,POOR LIFE FROM REPAIRED PLATE / MEMBRANE OF FILTER PRESS,Refer attachment,,Surface to be ground and rechecked for flatness in both axis after PU welding.,,,Cont.,Mr. Neeraj Singh,,Completed,This is for improving quality of plate repair
17,RCA/BNFC/17/2023,Cont.,,03-Mar-2023,BNFC,Spillags from zbc-5,₹0,,SPILLAGES FROM ZBC BELT 5,Refer attachment,,Skirt width to be reduced to 1330 mm,CA,,25-Mar-2023,Mr. Omprakash & Mr. Sunil Lamba,,Completed,No breakdown but affects housekeeping.
18,RCA/BNFC/18/2023,Cont.,,06-Mar-2023,BNFC,ZBC-1,₹0,,HIGH MOISTURE IN FILTER CAKE AT DISCHARGE OF ZBC-1 BELT,Refer attachment,,Water tap in all chamber plates to be made operational.,CA,,15-Mar-2023,Mr. Suvakanta Das,,Completed,
19,RCA/BNFC/19/2023,Since 13-Feb-2023,,08-Mar-2023,BNFC,Feed pump,"₹530,000",2.3,GLAND LEAKAGE FROM FEED PUMP 1,Refer attachment,STUFFING BOX NOT BEING PRESSURISED,Stuffing box to be modified to type 3 design,CA,,25-Apr-2023,Mr. Neeraj Singh,,Completed,
20,RCA/BNFC/20/2023,11-Mar-2023,,13-Mar-2023,BNFC,Belt joint failure,"₹621,000",2,ZBC#1 BELT JOINT FAILURE ,Refer attachment,POOR PRACTICE OF BELT JOINING,Belt joining practices to be improved,PA,,28-Mar-2022,Mr. Neeraj Singh,,Preventive,Preventive Action
23,RCA/BNFC/23/2023,21-Mar-2023,,24-Mar-2023,BNFC,New thickener,"₹17,400,000",72,FEED WELL SCRAPPER JAMMED AGITATOR DRIVE ,Refer attachment,MATERIAL ACCUMULATION IN FEED WELL,Ultra sonic radar installation in feed well of thickner,,,30-Apr-2023,Mr. Neeraj Singh & Mr. Bhajahari Das,,Completed,"Discussed with IMT.
Radar installation in feed  well will not be affective due to high water turbulence."
44,RCA/BNFC/44/2023,28-Sep-2023,04-Oct-2023,17-Oct-2023,BNFC,New thickener,"₹73,100,000",288,RAKE DRIVE SHAFT FAILURE,Refer attachment,DRIVE  PROTECTION  GOT  BYPASSED   DUE  TO  DRIVE SELECTION  IN  ‘LOCAL’  MODE.,Provision  of  event  logging  for  AUTO / MANUAL selection of rake  drive & any change of set point to be provided in the  DCS panel. ,PA,,19-Oct-2023,Mr. Bhajahari Das,,Completed,  Image after completion
51,RCA/BNFC/51/2023,,,22-Dec-2023,BNFC,"Conveyor 
 RC #1A",--,,NON  AVAILABILITY  OF SPACE  FOR  INSTALLING  BELT  SCRAPER  AND  PROPER CHUTE.,Refer attachment,"INCORRECT  POSITIONING OF  DRIVE PULLEY  OF CONVEYOR  RC#1A  OVER    THE  NEXT  CONVEYOR   
RC #1 ","Relocating  drive pulley,  drive platform extension with support structure modification,  motor & gearbox  positioning, alignment, Chute modification with motor & gearbox  positioning, alignment. Chute modification with skirt, installation of a snub pulley,  PU primary scraper  and a  secondary scraper installation.",CA,,Next  S/D,Mr. Debashis Jena,,Completed,"RESOLVED, At present no spillage .."
52,RCA/BNFC/52/2023,,,29-Dec-2023,BNFC,Stack sizer #2 & 3 / oversize  feed pipe to ht ball mill.,--,0,RE-LAYOUT OF  OVERSIZE DISCHARGE PIPELINE FROM STACK SIZER #2 &3 TO HT BALL MILL  TO CONTROL  EXCESS WATER ADDITION.,Refer attachment,UNUSUAL LAYOUT OF  OVERSIZE FEED PIPES FROM STACK SIZER 2 & 3  TO HT BALL MILL.,Pipeline #1 (250NB) from stack sizer #3 oversize to HT ball mill and pipeline #2 (200NB) from stack sizer #2 to HT ball mill  to be rerouted  as proposed. ,CA,,30-Jan-2024,Mr. Neeraj Singh,,Completed,Stack sizer 3 pipeline modification
53,RCA/BNFC/53/2024,,,05-Jan-2024,BNFC,Primary ball mill (circuit#1),"₹12,027,000",19,DRIVE COUPLING (HIGH SPEED) FAILED.,Refer attachment,1. LESS COUPLING GAP MAINTAINED.,Next higher size  GBM coupling (size RG 6) or FENNER make (size FGC 6) to be procured  and kept in ready to use condition for change during next campaign. ,CA,,15-Mar-2024,Mr. Neeraj Singh,,Completed,"Material is received as per OEM.
GRN No- GS23229-033
(Indent no- I123O19-003)"
57,RCA/BNFC/57/2024,,,19-Feb-2024,BNFC,Raw water pump 1 & 2.,-,-,REPEATED  SHAFT  FAILURE OF RAW  WATER   PUMP.,Refer attachment,REVERSE ROTATION OF  PUMP.,"NRV  to be installed in the discharge of Raw water pumps before  isolating valve to prevent reverse rotation of the pump, which is the root cause of lock nut loosening.",CA,,15-Mar-2024,Mr. Neeraj Singh,,Completed,"NEW NRV INSTALLATION WORK DONE.
REFER IMAGE"
60,RCA/BNFC/60/2024,,,19-Mar-2024,BNFC,"Underflow pump density meter",-,-,"VARIATIONS IN SLURRY DENSITY MEASUREMENTS BY MARCY SCALE, DCS AND LAB VOLUMETRIC ANALYSIS.",Refer attachment,INSTRUMENT  CALIBRATION   ISSUE.,"Since, Quality Control lab data and the corrected Marcy scale reading is almost matching, it is proposed that the calibration of EIP density meter  should be done with the lab data or corrected Marcy scale reading.",PA,,-,Mr. Suvakanta Das,,Preventive,
64,RCA/BNFC/64/2024,06-Apr-2024,08-Apr-2024,24-Apr-2024,BNFC,Agitator Tank #2,"₹14,565,400",16,TRIPPING OF AGITATOR TANK  #2   DRIVE  MOTOR.,Refer attachment,"DRIVE GEAR BOX APPEARS TO BE DEFECTIVE, AS IT IS DRAWING MORE CURRENT.",Gearbox of agitator  tank#2 to be replaced.  Gearbox output shaft seal is damaged.  Axial float in the drive shaft is possibly higher causing so much variation in current.,,,15-Jul-2024,Mr. Debashis Jena,,Completed,PROCUREMENT U/P.
67,RCA/BNFC/67/2024,Cont. (Since March' 24),23-May-2024,03-Jun-2024,BNFC,"FILTER  PRESS # 5,6 & 7","₹67,871,250",335,"Low production from Filter press # 5,6 & 7.",Refer attachment,1.  OUTPUT PER CYCLE AND NUMBER OF CYCLES PER DAY HAS DETERIORATED.,"Pressure transmitters are  to be provided in the slurry feed line at the filter press level  in each Filter press # 5,6 & 7.  This data to be communicated to  DCS for online display at control rooms with a provision of historical trends. Further, provision to be made for digital display of pressure data at filter press floor.",CA,,To be decided,Mr. Bhajahari Das,,Completed,PT installed in FP #5. REFER VIDEO.
74,RCA/ BNFC/74/ 2024,"29-Sep-2024
( 'C' shift )",,11-Nov-2024,BNFC,Tailing  thickener,,552,FAILURE OF  TAILING  THICKENER.,Refer attachment,MANUAL MODE OPERATION OF THICKENER.,Thickener to be operated on auto mode only during normal operation because auto lift up / down of rake gets bypassed on manual mode.,,,Immediate,Mr. Suvakanta Das,,Completed,
80,  RCA/CPP-2/80/2025 ,,,02-Apr-2025,CPP 2,WHRB #1, ₹13.02 Cr/yr,,DETERIORATION   IN   WHRB #1   STEAMING   RATE,Refer attachment,"1. INADEQUATE FLOW RATE OF FULE GAS
2. LOWER FLUE GAS TEMP. AT BOILER INLET
3. LOWER EXIT TEMP. OF FLUE GAS  AT  ECONOMISER
4. FEED  WATER  TEMP  AT  ECONOMISER  INLET IS LOWER THAN DESIGNED VALUE.
5. UNCLEAN PRESSURE  PARTS ",DRI kiln coal  injection  pipe diameter  to be increased  from  100 mm  to  150 mm.,CA,,5-Jun-2025,Mr. Shailesh Jha,,Incomplete,
82,RCA /CPP-2/82/2025,,,21-Jul-2025,CPP 2,Turbine Generator (TG) / CEP,"₹243,000",0.63,Turbine Generator (42 MW)  tripped due to high hot well level.,Refer Attachment,INCORRECT PRACTICES,Mesh  over the CEP strainer to be changed from  400 micron to 1000 microns in  CEPs phase wise & performance to be observed. ,,,5-Sep-2025,Mr. Manas Das,,Incomplete,
78,RCA/DRI/78/2025,17-Jan-2025,,20-Feb-2025,DRI,"Kiln#1 Thruster 
&
Support  Roller","₹674,850",11.17,KILN#1  (DRI - 100 TPD)  THRUSTER  &  SUPPORT  ROLLER  FAILURE.,Refer Attachment,"1. THE SUPPORT ROLLER SHAFT HAD A SURFACE DEFECT, WHICH PROPAGATED GRADUALLY OVER A PERIOD OF TIME.
2. WORN OUT THRUST FACES OF THE THRUST ROLLER AND  THE KILN TYRE.","While procuring  support roller assembly,  Ultrasonic  testing of  shaft to  be included in the QAP (quality assurance plan).",CA,,While  raising next indent.,Mr. M.N. Jha,,Completed,
75,RCA/DRI-650/75/2024,,,16-Dec-2024,DRI-650,ABC Cooling Water System,,,Fluctuation of  ABC gas temperature.,Refer Attachment,,PID Programming.,CA,,01-Mar-2025,Mr. Gajendra Swain,,Incomplete,
76,RCA/DRI-650/76/2024,,,23-Dec-2024,DRI-650,Cooler Main Drive (Kiln #2),,,Tripping of Kiln #2 Cooler Main Drive,Refer attachment,OVERLOADING  OF  DRIVE  DUE  TO  HIGH  COOLER  SHELL  EXPANSION  CAUSED   DUE  TO   COOLING  FAILURE.,Flow rate of cooling water  supplied to the cold sump of  kiln #1 /2 to be measured by raw method by collecting the same in a 200 litre drum & noting the filling time.,CA,,27-Dec-2024,Mr. Ajit Dash,,Completed,"Measured through flow meter by CCR team.
Water flow from 4"" line was 32 m3/hr."
77,RCA/DRI-650/77/2025,21-Dec-2024,,09-Jan-2025,DRI-650,Cable (I-Bin Area),,,Cable Fire in I-Bin Building,Refer attachment,"Fine dust leakages from the  tail end side of Char Fines Conevyor caused electrical flashover  in the nearby SFU.
",All the transfer points  of  all the conveyors in the I BIN area to be enclosed  and sealed to the extent possible to check  polluting sources.,CA,,10-Feb-2025,Mr. Narayan Patra,,Incomplete,
79,RCA/DRI-650/79/2025,,,20-Feb-2025,DRI-650,"Dust Silo R.A.V.
(Product House)",,,Frequent Tripping in Dust Silo R.A.V. ( DRI #2 ),Refer attachment,,"10” Inlet knife edge gate valve (1 no),  similar to the one installed in position just below the dust  silo to be indented.",CA,,31-Mar-2025,Mr. M.N. Jha,,Incomplete,
55,RCA/FIRE/55/2024,,,02-Feb-2024,FIRE SERVICE,Fire tender,---,6,FIRE  TENDER  RADIATOR  LEAKAGE.,Refer attachment,CORROSION DUE TO NON USE OF PROPER COOLANT SUSPECTED.,"Condition  of the radiator of the fire tender is not healthy. It may give surprises by giving way from any other location,  at  any time and may cause extensive damages. Hence, a new radiator to be indented.",CA,,17-Feb-2024,Mr. Surender Sharma,,Completed,Indent no.- I723208-001
4,RCA/P1/04/2022,,,14-Dec-2022,Pellet 1,Balling Disc-1,"₹6,600,000",,BALLING DISK-1 GEAR BOX DOWN,Because of wrong practice. Team is using by welding gear tooth.,,Hopper 2 Check,PA,,,Mr. S.K. Muduli,,Completed,Planned in the PM schedule (Jan 16'23)
7,RCA/P1/07/2023,,,03-Jan-2023,Pellet 1,Heat value,---,,P1 HIGH HEAT VALUE,Refer attachment,,Producer gas flow meters need to be re-calibrated for reducing the elements of error.,PA,,,Mr. S. Nayak,,Completed,
22,RCA/P1/22/2023,15-Mar-2023,,16-Mar-2023,Pellet 1,,"₹4,098,000",1.7, P1 LOW PRODUCTION,Refer attachment,POWER FAILURE,Process to be controlled,PA,,,Mr. Raghu,,Completed,
24,RCA/P1/24/2023,Last few weeks,,29-Mar-2023,Pellet 1,Balling Disc 4,₹0,0,RISING TREND IN VIBRATION  IN BALLING DISC#4 DRIVE.,Refer attachment,DRIVE MISALLIGNMENT,Girth gear pinion backlash checking ,CA,,10-Apr-2023,Mr. S.K. Muduli,,Completed,"Appreciable result was not obtained, requires further checking"
27,RCA/P1/27/2023,Since 2-Sept-2022,,11-Apr-2023,Pellet 1,TG,₹0,0,REPEATED FAILURE OF 4TH DRIVE MOTOR IN TRAVELING GRATE WHEN ALL  4 MOTOR SHARE LOAD TOGETHER.,Refer attachment,TG DRIVE MOTORS ARE NOT SET AS PER MASTER AND SLAVE LOGIC.                                  BUT PRESENTLY IT IS IN OPERATION WITH 4 MOTORS WITH SAME SPEED SET POINTS FOR ALL MOTORS,VFD and encoder installation in all drive motors to be wired with master and slave logic,CA,,Presently running okay with 3 motors,Mr. Bhajahari Das,,Completed,"Presently all four motors are operating in position. Hence, it is not required to be implemented now."
28,RCA/P1/28/2023,Since last one year,,20-Apr-2023,Pellet 1,Conveyor BC2B,₹0,0,MATERIAL SPILLAGE FROM CONVEYOR RETURN SIDE & VIBRATION IN THE PLATFORM.,Refer attachment,SCRAPER NOT IN POSITION,HOSCH make primary and secondary scraper installation,CA,,05-Jun-2023,Mr. S.K. Muduli,,Completed,
31,RCA/P1/31/2023,Since last one year,,04-May-2023,Pellet 1,Conveyor BC2A,₹0,0,OFF CENTRE RUNNING OF BELT.,Refer attachment,DEFECTIVE FEED RECEIVING CHUTE DESIGN,Feeding Chute width squeezing,CA,,05-Jun-2023,Mr. S.K. Muduli,,Completed,
37,RCA/P1/37/2023,16-Feb-2023,,25-Jul-2023,Pellet 1,Kiln/Fixed Beam,"₹68,000,000",72,WATER LEAKAGE FROM FIXED BEAM IN HOT PELLET DISCHARGE AREA. PART-'A',Refer attachment,DEFECTIVE  COOLING WATER PIPELINE LAYOUT OF FIXED BEAM.,65mm dia cooling water outlet from fixed beams ‘1’ & ‘2’ to be disconnected from 150mm dia return line and blanked from the same header end.,CA,,31-Dec-2023,Mr. S.K. Muduli,,Completed,
38,RCA/P1/38/2023,16-Feb-2023,,10-Aug-2023,Pellet 1,Kiln/Fixed Beam,---,72,KILN FIXED BEAM FAILURE DUE TO POOR WATER QUALITY.  PART – ‘B’ ,Refer attachment,POORLY DESIGNED SOFTENING SYSTEM.,"Ordering of Softner, circulation water pump, gravel filter & blower.",CA,,-,Mr. S.K. Muduli,,Completed,Earlier the process was on hold. But now new softner has been installed.  (I124O25-001)
41,RCA/P1/41/2023,25-Aug-2023,,08-Sep-2023,Pellet 1,Kiln,"₹93,600,000",99,"HOT  SPOT ON  KILN  SHELL
",Refer attachment,1. FREQUENT KILN STOPPAGES,"SS310 anchors in place of INCONEL-800 as is being practiced. Indent for  INCONEL-800  anchors  to be raised.
",CA,,20-Sep-2023,Mr. Raghu,,Completed,Indent No- IE23914-005  Date: 14/09/23
50,RCA/P1/50/2023,,,15-Dec-2023,Pellet 1,"TG,  Kiln and  Cooler",--,Process related.,HIGH EXIT GAS TEMP IN COOLER ZONE # 3.,Refer attachment,"LOW OPERATING DRAFT OF ID FANS.  
( TO BE FURTHER ESTABLISHED  BY A TRIAL )","Condition of the partition walls between the cooler zones to be inspected and compared with the drawing. It seems  hot air from adjacent zone is escaping towards the least resistant path, i.e.  zone 3. It is suspected because cooling air fan flow is very high.  Necessary repairs in the cooler zone partition wall  to be taken up, if any deviation is found .",PA,,Next S/D,Mr. Raghu,,Completed,REFER IMAGE
56,RCA/P1/56/2024,,,12-Feb-2024,Pellet 1,NFC-5  drive,-,-,VIBRATION IN MOTOR DRIVE,Refer attachment,MOTOR SOFT FOOT CORRECTION & DRIVE ALIGNMENT CHECKING. IF VIBRATION DOES NOT FALL WITHIN THE ACCEPTABLE LEVEL THEN THE RESIDUAL VIBRATION  IS CONTRIBUTED DUE TO MOTOR UNBALANCE AND SHALL CALL FOR MOTOR REPLACEMENT.,Motor  soft foot checking / correction  as suggested in the report.,PA,,17-Feb-2024,Mr. Siddartha,,Completed,
58,RCA/P1/58/2024,,,01-Mar-2024,Pellet 1,"TG,  Kiln and  Cooler","₹20,187,908",-,HIGHER  LOADING  OF  ID FANS  DUE  TO EXTRA  FUEL  FIRING.,Refer attachment,NO PROVISION OF ONLINE OXYGEN MEASUREMENT AT PH2 OUTLET.,"Real time PGP gas pressure  in DCS database  ( PG_PT12 ) is not correct, to be  rectified.",,,08-Mar-2024,Mr. Bhajahari Das,,Completed,
69,RCA/P1/69/2024,18-Jun-2024,19-Jun-2024,04-Jul-2024,Pellet 1,Annular Cooler,"₹30,576,000",30,ANNULAR  COOLER  BAFFLE  WALL &  PARTITION  WALL BETWEEN  ZONE 1 & 2 DAMAGED.,Refer attachment,INCONSISTENT   ANNULAR  COOLER   MANAGEMENT.,"Loading of  cooling air fan # 1 to be increased by at least 10%. Presently, it is only loaded  upto 57%.",,,,Mr. Raghu,,Completed,Using as per process requirement
71,RCA/P1/71/2024,,,08-Aug-2024,Pellet 1,Kiln / Tip casting,"₹315,952,000",310,KILN  TIP  CASTING  REFRACTORY  FAILURE.,Refer attachment,FITMENT OF   TIP CASTING  WITH  THE  KILN SHELL.,The problem of tip casting refractory failure with the existing fitment is likely to reappear. It is proposed to have new set of 38mm holes on the kiln shell with proper fitment.,,,Next  S/D,Mr. S.K. Muduli,,Incomplete,Kiln shell (outlet- 3 mtr) planned for replacement in Pellet-1 has been consumed by Pellet-2 in June'25 shutdown. New kiln outlet shell to be indented.
75, RCA/P1/D1/2025 (Departmental RCA),16-02-25,16-02-25,13-05-25,Pellet 1,TG MAIN DRIVE-4,,5 Min,MOTOR WINDING COIL SHORT CIRUIT.,RCA LINK,Motor Coil Winding Insulation Damage Due to Increase in Ambient Temprature.,"Motor Replaced, Man Cooling Fan Installed & Proper Air Ventilation Provided For Heat Dissipitation.",,,20-05-2025,Mr. Bhajahari Das,18-Feb-2025,Completed,
14,RCA/P2/14/2023,,,02-Feb-2023,Pellet 2,Disc Feeder 5,2.27 lakh per hour.,---,DISC  FEEDER 5 GEAR BOX BREAKDOWN ,Refer attachment ,,Drive arrangement to be modified as done in Disc Feeder #4 gear box for ensuring tooth contact at the pitch circle dia.,,,15-Apr-2023,Mr. Biswajit Panda,,Completed,
25,RCA/P2/25/2023,30-Mar-2023,,03-Apr-2023,Pellet 2,FC6,"₹1,530,000",6,CUT IN FC 6 BELT ,Refer attachment,INCORRECT INSTALLATION OF MAGNET,Reorientation of Magnet,CA,,14-Apr-2023,Mr. Biswajit Panda,,Completed, Image after completion
26,RCA/P2/26/2023,03-Apr-2023,,06-Apr-2023,Pellet 2,FC6,"₹4,005,000",2,FOLDING OF FC6 BELT OVER DISCHARGE PULLEY. ,Refer attachment,INCORRECT INSTALLATION OF SELF ALLIGNING IDLER STAND,Reorientaion of self alligning idler stands,CA,,10-Apr-2023,Mr. S.K. Panda,,Completed, Image after completion
29,RCA/P2/29/2023,19-Apr-2023,,19-Apr-2023,Pellet 2,Id fan 2,"₹813,000",2,ID FAN # 2 (PELLET #2) NON DRIVING END BEARING VIBRATION,Refer attachment,BEARING FITTING PRACTICE,SMP to be revised,PA,,Cont.,Mr. Biswajit Panda,,Completed,
30,RCA/P2/30/2023,Since inception   Sept'2021,,27-Apr-2023,Pellet 2,Balling disc 4,₹0,0,GREEN BALL SPILLAGES FROM BALLING DISC.,Refer attachment,INEFFECTIVE SCRAPPING ON BALLING DISK AND DAMAGED POLYMER LINERS,Increase in liner width,CA,,10-May-2023,Mr. Biswajit Panda,,Completed,  Image after completion
32,RCA/P2/32/2023,Since inception,,09-May-2023,Pellet 2,C16 belt,₹0,0,HIGH STRUCTURAL VIBRATION IN TAIL PULLEY PLATFORM. ,Refer attachment,POOR STRUCTURAL WORK,Structural modification job,CA,,10-Jul-2023,Mr. Biswajit Panda,,Completed,  Image after completion
33,RCA/P2/33/2023,Since inception,,16-May-2023,Pellet 2,C17 belt,₹0,0,HIGH STRUCTURAL VIBRATION IN DRIVE PULLEY PLATFORM. ,Refer attachment,POOR STRUCTURAL WORK,Structural modification job,CA,,10-Aug-2023,Mr. Biswajit Panda,,Completed, Image after completion
34,RCA/P2/34/2023,20-Mar-2023,,31-May-2023,Pellet 2,Kiln/fixed beam,"₹293,500,000",288,WATER LEAKAGE FROM FIXED BEAM IN HOT PELLET DISCHARGE AREA. PART-'A',Refer attachment,DEFECTIVE  COOLING WATER PIPELINE LAYOUT OF FIXED BEAM,"Common cooling water outlet from fixed beams ‘A’, ‘B’, ‘C’ and ‘D’ to be separated and connected directly to the 12” return header. ",CA,,31-Oct-2023,Mr. Biswajit Panda,,Completed,Water Oulet Header Modification 
35,RCA/P2/35/2023,19-Mar-2023,,15-Jun-2023,Pellet 2,Kiln/fixed beam,---,,WATER LEAKAGE FROM FIXED BEAM IN HOT PELLET DISCHARGE AREA. PART-'B',Refer attachment,POORLY DESIGNED SOFTENING SYSTEM,Ordering of Pump ,CA,,30-Jul-2023,Mr. Biswajit Panda,,Completed,
36,RCA/P2/36/2023,29-May-2023,,27-Jun-2023,Pellet 2,Pellet Process related,₹0,0,RISE IN REJECTION RATE OF PELLET DUE TO HIGHER % OF JOINTS / FITTED PELLETS.,Refer attachment,POSSIBILITY OF HIGHER ADDITION OF BENTONITE,Bentonite LIW to be checked and calibrated .,PA,,07-Jul-2023,Mr. Raghu,,Completed,
39,RCA/P2/39/2023,23-Jul-2023,,18-Aug-2023,Pellet 2,C#14 conveyor  belt,"₹9,172,000",9,POOR LIFE OF CONVEYOR C#14 ,Refer attachment,INCORRECT SKIRT ARRANGEMENT, Under size  green ball feeding chute skirt  of  conveyor  C#14 to be modified as proposed.,CA,,01-Sep-2023,Mr. S. Prusty,,Completed,
43,RCA/P2/43/2023,19-Sep-2023,19-Sep-2023,22-Sep-2023,Pellet 2,C#15 conveyor  belt,"₹2,038,400",2,POOR LIFE OF CONVEYOR C#15,Refer attachment,INCORRECT INSTALLATION OF RECEIVING CHUTE SKIRT,Receiving chute skirt to be modified,CA,,07-Oct-2023,Mr. Brahmananda,,Completed,
46,RCA/P2/46/2023,20-Oct-2023,21-Oct-2023,30-Oct-2023,Pellet 2,Pellet cooler discharge chute,"₹1,528,800",1.5,PELLET COOLER DISCHARGE CHUTE JAMMING.,Refer attachment,RODS WELDED INSIDE THE CHUTE FOR ENABLING HANDLING WAS NOT DISMANTLED BEFORE CLEARING THE SHUT DOWN.,Two hooks to be welded on the opposite faces of the pellet discharge hopper and the chute at a suitable level.,CA,,31-Oct-2023, Mr. Dinesh,28-Oct-2023,Completed, Image after completion
49,RCA/P2/49/2023,"Since
Sept' 23",19-Nov-2023,04-Dec-2023,Pellet 2,Disc feeder #6 (balling disc#4),--,0,DISC FEEDER #6  (BALLING DISC #4)  TRIPPING  ON  OVERLOAD.,Refer attachment,INCORRECT DESIGN & INSTALLATION OF  DISC FEEDER SCRAPER.,"Overload relay of disc drive #6 is set at 32.9 amps but is tripping at a lower amperage. To establish possibilities of malfunctioning of this, relays of disc feeder 5 and 6 to be interchanged and observe.",,,27-Nov-2023,Mr. Ashis Sahoo,25-Nov-2023,Completed,
59,RCA/P2/59/2024,,,13-Mar-2024,Pellet 2,"TG,  kiln and  cooler","₹15,158,520",-,HIGHER  FUEL CONSUMPTION  DUE TO  EXCESS  COMBUSTION  AIR  FEEDING.,Refer attachment,NO PROVISION OF ONLINE O2 MEASUREMENT  AT PH2 OUTLET.,Provisions to be made for  combustion air flow measurement in kiln and TG.,CA,,Next  S/D,Mr. Ashis Sahoo & Mr. Sourav Mohanty,,Completed,
61,RCA/P2/61/2024,,,01-Apr-2024,Pellet 2,KILN & TRAVELLING  GRATE,-,-,O2 %  IS  VERY  HIGH  IN  FLUE  GAS.,Refer attachment,REAL TIME  DISPLAY OF O2 % IN FLUE GAS IS NOT AVAILABLE IN DCS FOR THE OPERATORS TO REACT.,Both the Flue gas analyzers (O2 & CO) require calibration. Action taken by CCR.,CA,,20-Apr-2024,Mr. S. K. Patel,,Completed,Received after calibration.
66,RCA/P2/66/2024,,,16-May-2024,Pellet 2, NPC #1  Conveyor belt,"₹13,249,800","13 
(In 2023-24)",POOR LIFE OF  NPC #1 BELT.,Refer attachment,"1. ABNORMAL RISE IN COOLER ZONE #3 TEMP.
 (To be dealt in a separate RCA)",Automated pellet cooling scheme and the operation logic to be frozen.,,,18-May-2024,Mr. Sourav Mohanty,,Completed,
72, RCA/P2/72/2024    ,,,06-Sep-2024,Pellet 2,Multicyclone / Dust conveying system,---,---,HIGHER  COMPRESSED  AIR CONSUMPTION  FROM COMPRESSORS  4 & 5.,Refer attachment,"MATERIAL CONVEYING CYCLE IS TOO FREQUENTLY OPERATING  IN THE MULTI CYCLONE  DUST DISPOSAL SYSTEM.
",5.0 to 6.0 bar dome seal pressure to be ensured  in both multicyclones. Seal pressure is low.,,,11-Sep-2024,Mr. Abhilash  Biswal,,Completed,
