#,Date of incident,Area,Department,Equipment,Description of Breakdown/Case,Effected time (Minute),Impact on production,Action taken, RCA Status,Date of RCA,Link,Root Cause,CAPA,Responsible,Due date,Status of CAPA,Actual date,Remark,Remark of RCA team,RCA team required,Date of intimation
,,,,,,,,,,,,,2.Regular inspection and maintenance of conveyor belt gearbox motor couplings.,,,,,,,,
7,1-Jun-25,Pellet-1,Mechanical,Root blower,"Root blower damaged V- Belt,root blower 2A all damage v -belt( SPC-3350 ) replacement work done ",57,No,kiln rootblower-2a 5nos damage v- belt (spc-3350) replacement work done,Done,,Reference Link,"Kiln Rootblower-2A's 5 V-belts (SPC-3350) were found loose due to wear and tear due to prolonged use & aging, resulting in damage.","1. Damaged V-belts (SPC-3350) of Kiln Rootblower-2A replaced.
",,1-Jun-25,Done,1-Jun-25,,,,
,,,,,,,,,,,,,2.  Regular inspection and maintenance of V-belts.,,,Done,,,,,
8,1-Jun-25,Pellet-1,Mechanical,Roller Screen ,"U/S roller screen, motor gearbox replacement ",37,No,,Not required,,,,,,,,,,,,
9,1-Jun-25,Pellet-1,Mechanical,Product Screen,product screen gear box crack,N/A,No,1.new base replacement done in shutdown.,Done,1-Jul-25,Refer attachment,product screen gearbox base cracked due to prolonged use/ aging.,1.scheduled replacement plan for gearbox base need to be implemented,Mr.S.K.Muduli,"SHUTDOWN
(03-JULY-2025)",Done,3-Jul-25,,,,
,,,,,,,,,,,,,2. new screen to be procured to replace in long shutdown.,,,Done,,,,,
1,2-Jun-25,BNFC,Mechanical,FEED PUMP-3,Suction line flange leakage and gland tightened work,50,Stop,Gland bolt tightened and suction line flange bolt tightened after changing gasket,Done,15-Jul-25,Refer attachment,1nos of bolt wasn't tightened enough.,Gasket was changed and bolts  were properly tightened & before closing up the work bolts are getting checked properly.,Mr Debashis Jena,8-Jun-25,Done,5-Jun-25,,,,
2,3-Jun-25,Pellet-1,Mechanical,TG HR fan-2,HR fan 2 hot Air leakage arrested through glasswool.,62,No,,Not required,,,,,,,,,,,,
3,3-Jun-25,BNFC,Mechanical,NFC-1B,Belt joint damage due to chute material jam,46,Stop,Belt patched,Done,15-Jul-25,Refer attachment,Due to chute jam.,Chute jam was cleared & before running the conveyor in reverse/forward we are checking the chute and scrappers as it should be cleaned so there will be no damage s to the conveyor belt.,Mr Debashis Jena,8-Jun-25,Done,5-Jun-25,,,,
4,4-Jun-25,BNFC,Mechanical,DD SCREEN-2, upper deck 2nos of mesh damage,35,Stop,damaged mesh were changed,Done,15-Jul-25,Refer attachment,over size material came through grizzly to dd screen & damaged grizzly .,2nos of mesh had been changed &grizzly repaired and checking of grizzly before charging the material.,Mr Debashis Jena,10-Jun-25,Done,6-Jun-25,,,,
5,4-Jun-25,Pellet-1,Mechanical,PC-1,De-watering pump line jamm,66,No,,Not required,,,,,,,,,,,,
6,5-Jun-25,Pellet-1,Mechanical,U/S roller screen,Skirt rubber replaced,38,No,,Not required,,,,,,,,,,,,
7,5-Jun-25,Pellet-1,Mechanical,FC-3,Guide roller bearing damage,33,No,,Not required,,,,,,,,,,,,
8,6-Jun-25,BNFC,Mechanical,Filter Press-3,Leakage from gasket of NRV,60,Stop,New gasket of NRV had been installed,Done,15-Jul-25,Refer attachment,Bolt wasn't tightened enough .,NRV gasket was changed & bolts were getting checked before giving closure to work,Mr Debashis Jena,12-Jun-25,Done,8-Jun-25,,,,
9,7-Jun-25,Pellet-1,Mechanical,BC-2B,Motor abnormal vibration was observed.,15,No,,Not required,,,,,,,,,,,,
10,7-Jun-25,Pellet-1,Mechanical,Undersize roller screen,41no roller gearbox motor replacement work done ,85,No,Damaged gearbox motor of the 41st Under size rollerscreen roller replaced.,Done,,Reference Link,41st no Roller Screen roller gearbox motor bearing  jammed due to material overload.,1. Damaged gearbox motor of the 41st Under size rollerscreen roller replaced.,,7-Jun-25,Done,7-Jun-25,,,,
,,,,,,,,,,,,,2. Implement regular monitoring of feed rates and material flow to prevent overloading.,,,Done,,,,,
11,8-Jun-25,Pellet-1,Mechanical,PCI,rack welding work done ,118,No,,Not required,,,,,,,,,,,,
12,10-Jun-25,Pellet-1,Mechanical,Undersize roller screen,12 no roller gearbox motor replacement work done ,73,No,Damaged gearbox motor of the 12th Under size rollerscreen roller replaced.,Done,,Refence Link,12th no Roller Screen roller gearbox motor bearing  jammed due to material overload.,1. Damaged gearbox motor of the 12th Under size rollerscreen roller replaced.,,10-Jun-25,Done,10-Jun-25,,,,
,,,,,,,,,,,,,2. Implement regular monitoring of feed rates and material flow to prevent overloading.,,,Done,,,,,
13,10-Jun-25,Pellet-1,Mechanical,Cooler,cooler trolley rail alignment and trolley discharge chute punture welding work done.,125,No,,Not required,,,,,,,,,,,,
14,10-Jun-25,Pellet-1,Mechanical,Proportionate,lime vessel seal work u/p ( B ),40,No,,Not required,,,,,,,,,,,,
15,10-Jun-25,Pellet-2,Mechanical,Proportionate,lime conveying damage Gaskit replacement work done ( c ),127,No,,Not done,,,,,,,,,,,,
16,10-Jun-25,BNFC,Process,Ball Mill,Secondary sump box jammed and flow not taken,180,Speed loss,"After the feed is stopped, the water circuit is also stopped. Once the sump box is emptied, flow is taken. Subsequently, the water circuit is restarted, followed by the resumption of feed.",Done,15-Jul-25,Refer attachment,low grinding and box dicsharge line puncher .,1-Preventive maintenance of pipeline has taken.,Mr Manish kumar singh .,18-Jun-25,Done,13-Jun-25,,,,
,,,,,,,,,,,,,2-Circuit feed stopped.,,,Done,,,,,
,,,,,,,,,,,,,3-Secondary  feed pump checking done.,,,Done,,,,,
,,,,,,,,,,,,,4-Proper grinding of feed material checked,,,Done,,,,,
17,11-Jun-25,Pellet-1,Mechanical,LIW,Iron dust pipe line leakage from flange arrested,31,No,,Not required,,,,,,,,,Daily checking & work,,,
18,12-Jun-25,BNFC,Process,Stack sizer -2,Stack sizer over size line jam,80,No,Circuit feedind stop as well as circuit stop.,Done,12-Jun-25,Refer attachment,coarser size particle and flushing line jam.,"Clean and inspect over size line regularly .
Improve grinding efficiency to eliminate coarser particles .
Increase flushing water  percentage .
Train operator to indentify  early symptoms of grinding .
",Mr Manish Kumar Singh ,17-Jun-25,Done,15-Jun-25,,,,
19,12-Jun-25,PGP,Mechanical,PGP-9,Bellcone housing work,180,No,,Not done,,,,,,,,,,,,
20,13-Jun-25,PGP,Mechanical,Booster Fan,PGP BOOSTER FAN PIPE LINE WELDING WORK ,250,No,,Not required,,,,,,,,,,,,
21,14-Jun-25,Pellet-1,Mechanical,MTC-1,MTC -1 VESSEL WELDING WORK DONE ,212,No,MTC -1 VESSEL WELDING WORK DONE ,Done,,Reference Link, Thinning of the vessel wall due to wear and tear from prolonged use. ,1. welding work done to repair the puncture in the MTC-1 vessel.,,14-Jun-25,Done,14-Jun-25,,,,
,,,,,,,,,,,,,2.  Implement a regular inspection and maintenance schedule for the MTC-1 vessel.,,,Done,,,,,
22,15-Jun-25,BNFC,Mechanical,ZBC-1,2nos.of carrying idler frame and 1nos. of carrying adjusting frame broken,55,Stop,2nos of carrying idler frame and 1nos.of carrying adjusting frame changed with new one,Done,15-Jul-25,Refer attachment,High and heavy impact load caused the frames to broke,carrying idlers frame and adjusting frames were changed  & spending more time on checking,Mr Debashis Jena,22-Jun-25,Done,19-Jun-25,,,,
23,15-Jun-25,BNFC,Mechanical,ZBC-2,1nos of impact carrying idler frame was broken.,27,Stop,Frame was replaced.,Done,15-Jul-25,Refer attachment,High and heavy impact load caused the frames to broke,The frame was changed & more time is given for checking & with respect of more people and semi skilled.,Mr Debashis Jena,22-Jun-25,Done,18-Jun-25,,,,
24,16-Jun-25,BNFC,Mechanical,Filter Press-4,Non Drive side shifter chain broken,50,Stop,Shifter chain of nondrive side rejoint,Done,15-Jul-25,Refer attachment,Chain tension was loose.,Shifter chain of non drive side rejoint & proper tightening of sprocket jackbolt & proper chain tension is given now and getting checked thoroughly.,Mr Debashis Jena,22-Jun-25,Done,20-Jun-25,,,,
25,16-Jun-25,BNFC,Process,PBM feed spout,PBM feed spout jam,180,Stop,Primary ball mill feed spout Jam.,Done,16-Jun-25,Refer attachment,Close circuit and raw material carrying +8 mm size particle .,"Clean and inspect feed spout regularly .
Improve screen efficiency to eliminate over size particles .
Increase flushing water  percentage .
Train operator to indentify  early symptoms spout jam .",Mr Manish Kumar Singh ,19-Jun-25,Done,18-Jun-25,,,,
26,16-Jun-25,Pellet-1,Mechanical,O/S roller screen,17no roller coupling key fitting work done ,59,No,17th no Oversize roller screen roller coupling key replacement work done,Done,,Refence Link,17th no Oversize roller screen roller coupling key worned out due to prolonged use,1. The worn-out coupling key of the 17th Oversize roller screen  replaced,,16-Jun-25,Done,16-Jun-25,,,,
,,,,,,,,,,,,,2.Ensure timely replacement of worn-out parts.,,,Done,,,,,
27,16-Jun-25,Pellet-1,Mechanical,balling Disc-2,gear box packing and input coupling teflon bush replacement work done ,182,Speed loss,,Not required,,,,,,,,,This work has been done during Preventive Maintenane of Balling Disc-2 on 16 June- 2025,,,
28,17-Jun-25,Pellet-1,Mechanical,HR FAN-2,below air leakage arrest work done ,44,No,Below air leakage arrested,Done,,Reference Link,HR Fan-2 bellow liner leakage occurred due to wear and tear from prolonged use.,1. Bellow leakage arrest work done to rectify the issue.,,17-Jun-25,Done,17-Jun-25,,,,
,,,,,,,,,,,,,2. Ensure timely replacement of worn-out parts.,,,Done,,,,,
,,,,,,,,,,,,,3. Regular inspection and maintenance of HR Fan bellows.,,,Done,,,,,
29,18-Jun-25,BNFC,Mechanical,DD SCREEN-1,2nos of dummy plates opened from its center and 6nos of mesh damaged,255,Stop,2nos of dummy plates and 6nos of mesh were changed and grizzly repaired,Done,15-Jul-25,Refer attachment,grizzly was damage,2nos of dummy plates and 6nos of mesh were changed and grizzly repaired & checking of grizzly before charging the material.,Mr Debashis Jena,25-Jun-25,Done,21-Jun-25,,,,
30,19-Jun-25,Pellet-1,Mechanical,PCI,"PCI stopped on 19-06-2025 from 11:50pm to 13:50 pm due to TG stipper plate lifted up, high spillage observed & TG was running on low feed",120,Speed loss,"1. The TG stipper plate bent due to poor material quality from vendor AJ Cast Alloy Pvt. ltd. Although the vendor was informed and the plate was slated for return, its installation was unavoidable during the emergency due to the unavailability of spares
2. Calling to vendor to show the problem.",Done,7-May-25,Refer attachment,The stipper plate bent due to poor material quality,"To prevent future issues, we will no longer procure stipper plates from Aj Cast Alloy Pvt. Ltd., opting instead for vendors that provide higher quality materials.",Mr.S.K.Muduli,"SHUTDOWN
(03-JULY-2025)",Done,,,,,
31,19-Jun-25,Pellet-1,Mechanical,BALLING DISC-1,"Balling Disc-1 stopped on 19-06-2025 from 11:50pm to 12:15 pm due to TG stipper plate lifted up, high spillage observed & TG was running on low feed",25,Speed loss,"1. The TG stipper plate bent due to poor material quality from vendor AJ Cast Alloy Pvt. ltd. Although the vendor was informed and the plate was slated for return, its installation was unavoidable during the emergency due to the unavailability of spares
2. Calling to vendor to show the problem.",Done,7-May-25,Refer attachment,The stipper plate bent due to poor material quality,"To prevent future issues, we will no longer procure stipper plates from Aj Cast Alloy Pvt. Ltd., opting instead for vendors that provide higher quality materials.",Mr.S.K.Muduli,"SHUTDOWN
(03-JULY-2025)",Done,,,,,
32,19-Jun-25,Pellet-1,Mechanical,BALLING DISC-3,"Balling Disc-3 stopped on 19-06-2025 from 11:50pm to 01:25pm  due to TG stipper plate lifted up, high spillage observed & TG was running on low feed",95,Speed loss,"1. The TG stipper plate bent due to poor material quality from vendor AJ Cast Alloy Pvt. ltd. Although the vendor was informed and the plate was slated for return, its installation was unavoidable during the emergency due to the unavailability of spares
2. Calling to vendor to show the problem.",Done,7-May-25,Refer attachment,The stipper plate bent due to poor material quality,"To prevent future issues, we will no longer procure stipper plates from Aj Cast Alloy Pvt. Ltd., opting instead for vendors that provide higher quality materials.",Mr.S.K.Muduli,"SHUTDOWN
(03-JULY-2025)",Done,,,,,
33,19-Jun-25,Pellet-1,Mechanical,BALLING DISC-4," Balling Disc-4 Stopped on 19-06-2025 from 11:50pm to 15:35pm  due to TG stipper plate lifted up, high spillage observed & TG was running on low feed",225,Speed loss,"1. The TG stipper plate bent due to poor material quality from vendor AJ Cast Alloy Pvt. ltd. Although the vendor was informed and the plate was slated for return, its installation was unavoidable during the emergency due to the unavailability of spares
2. Calling to vendor to show the problem.",Done,7-May-25,Refer attachment,The stipper plate bent due to poor material quality,"To prevent future issues, we will no longer procure stipper plates from Aj Cast Alloy Pvt. Ltd., opting instead for vendors that provide higher quality materials.",Mr.S.K.Muduli,"SHUTDOWN
(03-JULY-2025)",Done,,,,,
34,19-Jun-25,Pellet-1,Mechanical,ESP -2,pipe line leakage found ,37,No,,Not required,,,,,,,,,,,,
35,19-Jun-25,Pellet-2,Mechanical,Propertioante Ground Hopper,FC-5A  conveyor belt off track adjustment work done ,71,No,,Not required,,,,,,,,,,,,
36,20-Jun-25,BNFC,Process,Clarifier tank level low ,Clarifier tank level not bulid up .,288,No,Take water from raw water tank .,Done,20-Jun-25,Refer attachment,Insufficient inflow as compare to out flow .,"Add raw water and SRTP water line clear .
Daily check inflow and out flow  .
Improve upstream supply monitoring .",Mr Manish Kumar Singh ,23-Jun-25,Done,22-Jun-25,,,,
37,20-Jun-25,Pellet-1,Mechanical,Cooler ,"Discharge hopper punture , welding work",61,No,,Not required,,,,,,,,,,,,
38,20-Jun-25,Pellet-1,Mechanical,PC-1,"Belt off tracked, adjustment work was done",44,No,,Not required,,,,,,,,,,,,
39,20-Jun-25,Pellet-1,Mechanical,BC-2B,Gearbox coupling replacemnet work done,129,No,BC-2B Gearbox input coupling replacemnet work done.,Done,,Reference Link.,"Wear and tear of the BC-2B  input coupling pin hole due to prolonged use,",1..BC-2B Gearbox input coupling replacemnet work done,,20-Jun-25,Done,20-Jun-25,,,,
,,,,,,,,,,,,,2. Implement regular inspection and maintenance of gearbox couplings.,,,Done,,,,,
40,20-Jun-25,Pellet-2,Mechanical,FC-6, tail pulley left side bearing change work done.,126,No,,Not required,,,,,,,,,,,,
41,21-Jun-25,Pellet-1,Mechanical,ESP-2,ESP -2 conving system vessel gaskit fitting work done.,70,No,,Not required,,,,,,,,,,,,
42,21-Jun-25,Pellet-1,Mechanical,ESP,checking dume seal and gaskit fitting work done ,102,No,,Not required,,,,,,,,,,,,
43,22-Jun-25,Pellet-1,Mechanical,PC-4,belt off tracked adjustment work done,44,No,,Not required,,,,,,,,,,,,
44,23-Jun-25,Pellet-1,Mechanical,PC-2,skirt rubber adjusting work done ,75,No,,Not required,,,,,,,,,,,,
45,23-Jun-25,BNFC,Mechanical,TH-2,"TH-2,discharge bombay door lower side skirt rubber belt damage",75,Stop,damaged skirt rubber belt were removed,Done,15-Jul-25,Refer attachment,skirt rubber length was more then it should be.,"skirt rubber was changed and of perfect size  & before installation of skirt rubber,measurements are taken properly.",Mr Debashis Jena,30-Jun-25,Done,27-Jun-25,,,,
46,24-Jun-25,Pellet-1,Mechanical,TG,TG Stipper plate bent,N/A,No,"1. The TG stipper plate bent due to poor material quality from vendor AJ Cast Alloy Pvt. ltd. Although the vendor was informed and the plate was slated for return, its installation was unavoidable during the emergency due to the unavailability of spares
2. Calling to vendor to show the problem.",Done,1-Jul-25,Refer attachment,The stipper plate bent due to poor material quality,"To prevent future issues, we will no longer procure stipper plates from Aj Cast Alloy Pvt. Ltd., opting instead for vendors that provide higher quality materials.",Mr.S.K.Muduli,"SHUTDOWN
(03-JULY-2025)",Done,3-Jul-25,,,,
47,24-Jun-25,Pellet-1,Mechanical,PC-1,conveyor belt off track adjustment work done ,45,No,,Not required,,,,,,,,,,,,
48,24-Jun-25,Pellet-1,Mechanical,Undersize roller screen,motor gear box replacement work ,37,No,,Not required,,,,,,,,,,,,
49,25-Jun-25,Pellet-1,Mechanical,PC-1 ,PC-1 conveyor belt tornout,315,Stop,New conv belt replacement work done.,Done,28-Jun-25,Refer attachment,"The root cause  for belt torn out is  the poor belt quality, degradation caused by conveying red-hot material, joint failure accelerated by belt wear from rubbing due to tail pulley jamming caused by material buildup.","1. upgradation  required to a higher-quality, heat-resistant belt (mega therm or uhr) with a temperature resistance capacity up to 400°c.","Mr.S.K.Muduli
&
Mr. Raghu V.
",26-Jun-25,Done,26-Jun-25,,,,
,,,,,,,,,,,,,2. regular cleaning of the tail pulley  need to be done to prevent material buildup,,,Done,,,,,
,,,,,,,,,,,,,3. material spillage to be arrested from the sector gate to prevent accumulation,,,Done,,,,,
,,,,,,,,,,,,,4. material temperature need to be maintained below 150°c.,,,Done,,,,,
50,25-Jun-25,BNFC,Process,New thickener,Thickener high torque,480,No,Thickener Stopeed,Done,7-Apr-25,Refer attachment,pellet side not provided information at right time so that rake taken in manual mode to save the thickener,1-plant stopped 2-thickener rake lifting  and underflow pump take recarculation.,,4-Jul-25,Done,1-Jul-25,,,,
51,25-Jun-25,Pellet-1,Process,Kiln ,Kiln discharge was jammed due to accretion pieces.,31,Stop,,Done,,5 Why Analysis of Kiln Discharge Jam,,,,,Done,,,,,
52,25-Jun-25,Pellet-1,Mechanical,MTC-2,"2 places leakage identified, dome valve seal fault with pipe line jam.",324,No,"1. Pipeline puncture patching work done.
2. Dome valve seal, insert ring & o ring replaced with new one.
3. Faulty SOV Replaced with new one.
4. Pipeline jam cleared.",Done,28-Jun-25,Refer attachment,"1. Prolonged use and wear and tear of pipeline, resulting in reduced thickness and leakage.
2. Improper dome valve closure and aging of the dome seal.
3. SOV malfunctioned.",1. Implement a replacement plan for worn-out pipeline.,"Mr.S.K.Muduli
&
Mr. Bhajahari Das",28-Jun-25,Done,28-Jun-25,,,,
,,,,,,,,,,,,,2. implement maintenance schedule for Dome seal & SOVs.,,,Done,,,,,
53,26-Jun-25,Pellet-2,Mechanical,TG,Main drive Secondary gearbox Pitting former on bearing (23128 ca/w33),4,No,Damaged bearing removed and Replaced with new one,Done,27-Jun-25,Refer attachment,We should have change the bearing in evevry 3 year,Damaged bearing removed and Replaced with new one,Nitish kumar,27-Jun-25,Done,27-Jun-25,,,,
54,26-Jun-25,PGP,Mechanical,Ash silo,Ash silo hopper sector gate broken,149,No,New Sector gate replacement done,Done,27-Jun-25,Refer attachment,Ash silo hopper sector gate broken due to prolonged use/ aging.,scheduled replacement plan for sector gate need to be implemented,Mr.S.K.Muduli,26-Jun-25,Done,,,,,
55,26-Jun-25,Pellet-2,Mechanical,C-15,Belt patching,67,No,plant shutdown,Not required,,,,,,,,,,,,
56,27-Jun-25,Pellet-1,Mechanical,BC-3 Conv gear coupling,bc-3 conveyor gearbox gear-coupling damaged,32,Stop,stand by gearbox used,Done,28-Jun-25,Refer attachment,"bc-3 conveyor gearbox gear coupling teeth damaged 
aging problem.",scheduled replacement plan for coupling need to be implemented,Mr.S.K.Muduli,27-Jun-25,Done,27-Jun-25,,,,
57,28-Jun-25,Pellet-1,Mechanical,ESP ,conveying stopped due to leakage arresting work,65,No,,Done,,Refer attachment,,,,,,,,,,
58,30-Jun-25,Pellet-2,E & I,Annular cooler,Overload trip due to heat expansion ,80,Stop,castable chipped at that place,Done,,Refer attachment,Castable was not uniform at a place,castable chipped at that place,Mr. Bhajahari Das,7-Feb-25,Done,,,,,
59,30-Jun-25,Pellet-2,Process,Fk pump,Line jammed,100,Speed loss,,Done,,Refer attachment,"1. Primary Cause: The broken lever of the counterweight resulted in a blockage in the discharge zone of the FK Pump.
2.Secondary Cause: Excessive moisture in the coal caused material to become sticky, leading to frequent jamming of the screw feeder and pipeline choke.","1.Replacement of Broken Counterweight Lever:Replace the damaged lever with a new one of the same specification. Ensure proper alignment, welding (if required), and balancing during installation Pre-Drying of Material.",,,,,,,,
,,,,,,,,,,,,,"2.Clearing of Jammed Material:Thoroughly clean the FK pump discharge zone and surrounding areas to remove all moist/sticky buildup.Ensure material handling routes (conveyors, hoppers, silos) are protected from rain exposure.",,,,,,,,
,,,,,,,,,,,,,"3.Monitoring and Logging- Begin a daily inspection log during rainy season to record any unusual noises, lever movements, or material buildup
",,,,,,,,
60,1-Jul-25,Pellet-2,Mechanical,ID fan-1,"temperature rise of both side plummer block, bearing sleeves tightening done on DE & NDE side",57,No,1.) check nut tightness done by checking the required clearance of bearing 2)locating ring proper placement done,Done,7-Jan-25,Refer attachment,bearing sleeve check nut found loose,1.) check nut tightness done by checking the required clearance of bearing,,,Done,,,,,
,,,,,,,,,,,,, 2)locating ring proper placement done,,,Done,,,,,
61,1-Jul-25,Pellet-2,E & I,TG MD-4,TG MD-4 Stopped Working Due to Motor Coil Burning.,18,Stop,TG MD-4 Motor Bypassed & Now TG Running With 3-Motors.,Done,10-Jul-25,Refer attachment,"As Per The Process need Motor Speed is Increased From 100% to 130% in VFD. 
The Installed Gear Box Might Not be Permissive to Run at Increased Speed, Which Might be a Reason of High Axial Jerk Which Ultimately Affected the Performance of The Gear Box.
Due to Degradation of Performance of The Gear Box, All The Loads Came on to the Motor Which Might Damage the Motor Bearings & Ultimately Resulting in Motor Coil Burning.
Due to All the Above Phenomenon TG Feed Stopped Hence Production Loss.
Other 3 Main Drive units are Having Similar Type of Abnormalities Which are Kept Under Observation.
","1. As the TG is Running Condition, So The Motor & Gear Box Units are Can Not be Dismantled for Checking, So Further Checking will be Done While Opportunity Shutdown Only.",Mr. Bhajahari Das,,Done,,,,,
,,,,,,,,,,,,,"2. Motor Replacement Will be Done During This Opportunity Only.
",,,Done,,,,,
62,2-Jul-25,Pellet-2,Mechanical,PCI-2 LIW screw feeder,LIW agitator gear motor bearing got loose,120,No,bearing replacement is done,Done,7-Feb-25,Refer attachment,bearing clearance disturb the line of contact,bearing replacement done,,,Done,,,,,
63,2-Jul-25,PGP,Mechanical,Booster-4,Unusual sound from Booster#4,205,No,"inspection door bolt loose,tightening work done",Done,7-Feb-25,Refer attachment,inspection door one bolt loose,,,,,,,,,
64,5-Jul-25,BNFC,E & I,RM-5,Conveyor tripped,65,Speed loss,Motor cable insulation done properly,Done,,Refer attachment,Motor cable insulation damage & short with armor due to hot work near base for motor replacement as motor cable dressing was not appropriate,"Motor cable dressed properly ,Cable insulation checked & insulated properly.Awareness created for any hot work near cables it should be covered prior performing the work",Mr. Bhajahari Das,12-Jul-25,Done,10-Jul-25,,,,
65,5-Jul-25,BNFC,E & I,Clarifier -3,DCS and VFD side for taking it in remote mode.,70,Stop,Profibus option card changed & instrument earthing also checked,Done,,Refer attachment,Remote & vfd healthy feedback was missing due to profibus option card malfunctioning.,Profibus option card replaced & instrument earthing rechecked.,Mr. Bhajahari Das,12-Jul-25,Done,9-Jul-25,,,,
66,5-Jul-25,Pellet-2,Mechanical,C-12,Belt patching,50,No,mechanical handover after 16min  Electrical side work u/p till  35 min,Not required,,,,,,,,,mechanical handover after 16min  Electrical side work u/p till  35 min,,,
67,6-Jul-25,Pellet-2,Mechanical,FC-6,Skirt rubber damaged.,30,No,damage side skirt rubber replaced,Done,7-Jul-25,Refer attachment,using old conveyor best,,,,,,,,,
68,6-Jul-25,BNFC,Mechanical,FP-5,feed hold due to hydraulic pump pressure relise valve  change,85,Speed loss,Shifter Chain link was replaced,Done,22-Jul-25,Refer attachment,"Pressure relief valve was not inspected or maintained regularly, leading to valve failure, poor pressure build-up, pump malfunction, and eventual stoppage of Filter Press 5.",Replace the damaged pressure relief valve with a new one.,Mr Debashis Jena,15-Jul-25,Done,10-Jul-25,,,,
69,6-Jul-25,BNFC,Mechanical,FP-2,plate shifter main drive chain link damage.,40,No,Shifter Chain link was relaced,Done,22-Jul-25,Refer attachment,Chain tension loose and low lub ,Damaged chain link was replaced and tension was properly adjusted.,Mr Debashis Jena,15-Jul-25,Done,10-Jul-25,,,,
70,6-Jul-25,BNFC,E & I,Old clarified pump-3,stopped frequently with communication fault,75,Speed loss,Profibus option card changed & instrument earthing also checked,Done,17-Jul-25,Refer attachment,Remote & vfd healthy feedback was missing due to profibus option card malfunctioning.,Profibus option card replaced & instrument earthing rechecked.,Mr. Bhajahari Das,15-Jul-25,Done,9-Jul-25,,,,
71,7-Jul-25,Pellet-2,E & I,Balling Disc-2,secondary rotary scraper motor fitting work,71,Speed loss,,Done,,Refer attachment,,,Mr. Bhajahari Das,,Done,,,,,
